In/Out,Time,Date,
1,1400,01/28,
0,1752,01/28,
1,1850,01/31,
0,2028,01/31,
1,1400,02/03,
0,1703,02/03,
1,1900,02/03,
0,2023,02/03,
1,1435,02/04,
0,1551,02/04,
1,1407,02/08,
0,1601,02/08,
1,1829,02/08,
0,1923,02/08,
1,1951,02/10,
0,2238,02/10,
1,1445,02/11,
0,1549,02/11,
1,1641,02/11,
0,1720,02/11,
1,1013,02/13,
0,1149,02/13,
1,1311,02/13,
0,1416,02/13,
1,2039,02/15,
0,2210,02/15,
1,1341,02/16,
0,1442,02/16,
1,1910,02/16,
0,2110,02,16,
1,1400,02/17,
0,1550,02/17,
1,1813,02/17,
0,2211,02/17,
1,0952,02/18,
0,1102,02/18,
1,1400,02/18,
0,1552,02/18,
1,1911,02/21,
0,2049,02/21,
1,1401,02/22,
0,1604,02/22,
1,1615,02/22,
0,1739,02/22,
1,1849,02/22,
0,2201,02/22,
1,0910,02/23,
0,1149,02/23,
1,1809,02/23,
0,1924,02/23,
1,2031,02/23,
0,2204,02/23,
1,1430,02/24,
0,1554,02/24,
1,1859,02/24,
0,2021,02/24,
1,0952,02/25,
0,1055,02/25,
1,1456,02/25,
0,1550,02/25,
1,1954,02/26,
0,2232,02/26,
1,2041,02/27,
0,2222,02/27,
1,2114,02/28,
0,2145,02/28,
1,1002,03/02,
0,1149,03/02,
1,1450,03/02,
0,1549,03/02,
1,1856,03/02,
0,2041,03/02,
1,1405,03/03,
0,1555,03/03,
1,1824,03/03,
0,2025,03/03,
1,0841,03/04,
0,1016,03/04,
1,1402,03/04,
0,1550,03/04,
1,2141,03/04,
0,2251,03/04,
1,0903,03/07,
0,1121,03/07,
1,1251,03/07,
0,1346,03/07,
1,0834,03/09,
0,1113,03/09,
1,1934,03/10,
0,2051,03/10,
1,0908,03/11,
0,1141,03/11,
1,1402,03/11,
0,1547,03/11,
1,1445,03/12,
0,1651,03/12,
1,1958,03/12,
0,2138,03/12,
1,1330,03/13,
0,1533,03/13,
1,1607,03/13,
